chembl,indication,max_phase,status,smiles,canonical_smiles,drug_id,drug_id_type,cell_line,IC50,EC50,AUC,confidence,data_set
CHEMBL101253,EFO_0000389,2,Completed,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,772499,NCI-60 NSC,SK-MEL-5,4.716,4.716,0.8176,0.9905,NCI-60
CHEMBL101253,EFO_0000389,2,Completed,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,772499,NCI-60 NSC,SK-MEL-28,4.142,4.142,0.9234,0.9914,NCI-60
CHEMBL101253,EFO_0000389,2,Completed,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,BRD-K70163715-300-05-7,broad_id,IPC298_SKIN,2.443954933,2.399938415,0.8646456735,0.7080389756,PRISM
CHEMBL101253,EFO_0000389,2,Completed,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,BRD-K70163715-300-05-7,broad_id,SKMEL5_SKIN,1.30805008,1.065170555,0.8348213251,0.3596531787,PRISM
CHEMBL101253,EFO_0000389,2,Completed,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,BRD-K70163715-300-05-7,broad_id,COLO679_SKIN,3.177633433,3.154210441,0.8853655146,0.4170852132,PRISM
CHEMBL101253,EFO_0000389,2,Completed,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,BRD-K70163715-300-05-7,broad_id,SKMEL30_SKIN,2.482229936,2.333762071,0.8716321105,0.2514199132,PRISM
CHEMBL101253,EFO_0000389,2,Completed,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,BRD-K70163715-300-05-7,broad_id,MELJUSO_SKIN,2.117208764,1.755426361,0.8557555028,0.4041027104,PRISM
CHEMBL888,EFO_0000702,2,Terminated,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,BRD-K15108141-001-06-6,broad_id,NCIH1048_LUNG,2.63E-05,2.52E-05,0.02608161671,0.3326197721,PRISM
CHEMBL101253,EFO_0001378,2,Completed,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,772499,NCI-60 NSC,RPMI-8226,4.383,4.383,0.8458,0.9996,NCI-60
CHEMBL103,EFO_1001465,0.5,Recruiting,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,9704,NCI-60 NSC,SF-539,4.565,4.588,0.8649,0.9993,NCI-60
