Drug,tdc-lipophilicity_astrazeneca,tdc-solubility_aqsoldb,tdc-hydrationfreeenergy_freesolv,tdc-caco2_wang,tdc-pampa_ncats,tdc-approved_pampa_ncats,tdc-hia_hou,tdc-pgp_broccatelli,tdc-bioavailability_ma,tdc-vdss_lombardo,tdc-cyp2c19_veith,tdc-cyp2d6_veith,tdc-cyp3a4_veith,tdc-cyp1a2_veith,tdc-cyp2c9_veith,tdc-cyp2c9_substrate_carbonmangels,tdc-cyp2d6_substrate_carbonmangels
C#CCNC(=O)C1=NC(=C2N1C=CC=C2)C3=CN=C(C=C3)Cl,1.0,,,,,,,,,,,,,,,,
C#CCNC(=O)C1=NC(=C2N1C=CC=C2)C3=CN=CC=C3,1.0,,,,,,,,,,,,,,,,
C/C/1=C\CC[C@@]2([C@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C,1.0,,,,,,,,,,,,,,,,
C/C=C\1/CN2CC[C@]34[C@@H]([C@H]1C[C@H]2[C@H]3N(C5=CC=CC=C45)C)C(=O)OC,1.0,,,,,,,,,,,,,,,,
C1=C(C=C(C(=C1Br)O)Br)C[C@@H](C(=O)O)N,0.0,,,,,,,,,,,,,,,,
C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)C(=O)N,0.0,,,,,,,,,,,,,,,,
C1=C(SC(=C1)C2=CC=C(O2)C3=CC=C(S3)CO)CO,1.0,,,,,,,,,,,,,,,,
C1=CC(=C(C(=C1)Br)O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,1.0,,,,,,,,,,,,,,,,
C1=CC(=C(C(=C1)Cl)C2=C3C=CC(=NN3C=NC2=O)SC4=C(C=C(C=C4)F)F)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC(=C(C(=C1)Cl)O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,1.0,,,,,,,,,,,,,,,,
C1=CC(=C(C(=C1)F)C(=O)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,0.0,,,,,,,,,,,,,,,,
C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)N)NC3=CC=C(C=C3)S(=O)(=O)N)F,0.0,,,,,,,,,,,,,,,,
C1=CC(=C(C(=C1)F)O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,0.0,,,,,,,,,,,,,,,,
C1=CC(=C(C(=C1)N)O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,0.0,,,,,,,,,,,,,,,,
C1=CC(=C(C(=C1)[N+](=O)[O-])O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,1.0,,,,,,,,,,,,,,,,
C1=CC(=C(C=C1C#N)F)C(=O)NC2=CC(=C(C=C2)Cl)C3=NC4=C(O3)C=CC(=C4)Cl,0.0,,,,,,,,,,,,,,,,
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,1.0,,,,,,,,,,,,,,,,
C1=CC(=C(C=C1CN(CCCNC(=S)NCCCC2=CN=CN2)C3=NC=C(C=C3)Br)Cl)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC(=C(C=C1Cl)C2=NC3=NC=CN=C3C(=N2)NC4=CC=NC=C4)F,1.0,,,,,,,,,,,,,,,,
C1=CC(=C(C=C1NC(=O)NC2=NN=C(S2)C3=CC=NC=C3)C(F)(F)F)F,1.0,,,,,,,,,,,,,,,,
C1=CC(=C(C=C1NC2=NC(=NC=C2)C3=CC=NC=C3)F)F,1.0,,,,,,,,,,,,,,,,
C1=CC(=C(C=C1NC2=NC=CC(=N2)C3=CC=NC=C3)F)F,1.0,,,,,,,,,,,,,,,,
C1=CC(=C(C=C1[C@H](CN)O)O)O,0.0,,,,,,,,,,,,,,,,
C1=CC(=C2C=CNC2=C1)C3=CN4C=NC=C4C(=C3)C5=CC=NC=C5,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)C(=O)N)C2=CC(=NC=N2)NC3=CC=C(C=C3)OC(F)(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)C(=O)NCCO)C2=CC(=NC=N2)NC3=CC=C(C=C3)OC(F)(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)C2=CN3C=NC=C3C(=C2)C4=CN=CC=C4)CO,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)C2=NC=CC(=N2)N3C=CN=C3)C#N,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)Cl)C2=CC=C(C=C2)C3=NN=C(O3)CCCC4=NC5=C(C=CC=N5)C=C4,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)Cl)C2=CC=C(O2)C(=O)NC3=CC4=C(C=C3)OC(=N4)C5=CN=CC=C5,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)Cl)CNC2=CC=C(C=C2)[S+](=O)(NC3=NC=CS3)[O-],1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)N)C=N2,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCC5=CN=CN5)C=N2,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCCN5C=CN=C5)C=N2,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCCO)C=N2,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)F)NC(=O)C2=CC(=NN2)C3=CC=CN3,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)F)NCC2=C3C=CC=NC3=C(C=C2)O,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)N2C=CC=C2/C=C/3\C(=O)N(C(=O)N3)C4=CC(=CC=C4)Cl)C(=O)O,0.0,,,,,,,,,,,,,,,,
