Drug,tdc-lipophilicity_astrazeneca,tdc-solubility_aqsoldb,tdc-hydrationfreeenergy_freesolv,tdc-caco2_wang,tdc-vdss_lombardo,tdc-b3db_regression,tdc-ppbr_az,tdc-half_life_obach,tdc-clearance_hepatocyte_az,tdc-clearance_microsome_az
C#CC(C)(C)NC(=O)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-],3.0,,,,,,,,,
C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.59,,,,,,,,,
C#CCN(C)C(C)Cc1ccccc1,2.16,,,,,,,,,
C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,2.8,,,,,,,,,
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.75,,,,,,55.73,,38.02,20.89
C#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.96,,,,,,,,,
C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.16,,,,,,,,,
C#CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.4,,,,,,,,,
C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1,0.92,,,,,,,,,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.35,,,-4.4699998,0.77,,,,8.59,18.62
C(#Cc1n[nH]c2ccccc12)c1ccccc1,4.31,,,,,,,,,
C(=C/c1c(-c2ccccc2)nc2sccn12)\c1ccncn1,3.4,,,,,,,,,
C1=C(c2cc3ccccc3o2)C2CCN1CC2,2.59,,,,,,,,,
C1=CCC(c2cc3ccccc3o2)CNC1,1.94,,,,,,,,,
C1=CCC(c2ccc3ccccc3c2)CNC1,1.64,,,,,,,,,
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,3.02,,,,,,,,,
C1CCC(NC2CCCCC2)CC1,-0.38,,,,,,,,,
C1CCc2c(c3c(N4CCCC4)nc(N4CCCC4)nc3n2CCN2CCOCC2)C1,3.6,,,,,,,,,
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,3.57,-6.2949,,,,,,,,
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0.02,,,,,,,0.5,,
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,2.98,,,-4.329999900000002,,,,,,
C=CC(=O)Nc1ccc(C)cc1,2.25,,,,,,,,54.239999999999995,
C=CC(=O)Nc1ccc(OC)cc1,1.68,,,,,,,,10.72,
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,3.7,,,,,,,,150.0,
C=CC12CCN(CC1)C(C(O)c1ccnc3ccc(OC)cc13)C2,2.08,,,,,,,,,
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1.48,-2.1193,,,,,,,,
C=CCCCCCCCCC(=O)N[C@H]1CCC(=O)NC1=O,2.64,,,,,,,,,
C=CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.1,,,,,,,,,10.0
C=CCN(C(=O)NCc1ccc(OC)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.6,,,,,,,,,
C=CCN(C(=O)Nc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.6,,,,,,,,,
