smiles,drug_id,drug_id_type,cell_line,tox21-ar-bla-agonist-p1,tox21-ar-bla-antagonist-p1,tox21-elg1-luc-agonist-p1,tox21-er-bla-agonist-p2,tox21-er-bla-antagonist-p1,tox21-erb-bla-antagonist-p1,tox21-erb-bla-p1,tox21-err-p1_agonist,tox21-fxr-bla-agonist-p2,tox21-fxr-bla-antagonist-p1,tox21-pgc-err-p1_agonist,tox21-ppard-bla-agonist-p1,tox21-ppard-bla-antagonist-p1,tox21-pparg-bla-agonist-p1,tox21-pparg-bla-antagonist-p1,tox21-pr-bla-agonist-p1,tox21-pr-bla-antagonist-p1,tox21-rt-viability-hek293-p1_glo 8 hr,tox21-rt-viability-hek293-p1_glo 40 hr,tox21-rt-viability-hek293-p1_flor 16 hr,tox21-rt-viability-hek293-p1_flor 24 hr,tox21-rt-viability-hek293-p1_flor 32 hr,tox21-rt-viability-hek293-p1_flor 40 hr,tox21-rt-viability-hek293-p1_flor 0 hr,tox21-rt-viability-hek293-p1_flor 8 hr,tox21-rt-viability-hek293-p1_glo 0 hr,tox21-rt-viability-hek293-p1_glo 16 hr,tox21-rt-viability-hek293-p1_glo 24 hr,tox21-rt-viability-hek293-p1_glo 32 hr,tox21-rxr-bla-agonist-p1,tox21-sbe-bla-agonist-p1,tox21-sbe-bla-antagonist-p1,tox21-trhr-hek293-p1_agonist,tox21-trhr-hek293-p1_antagonist,tox21-tshr-agonist-p1,tox21-tshr-antagonist-p1,tox21-tshr-wt-p1,tox21-vdr-bla-agonist-p1,tox21-vdr-bla-antagonist-p1
[Br-].C[N+]2(C)[C@H]1C[C@@H](C[C@@H]2CC1)OC(=O)C(CO)c3ccccc3,144203589,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C2NC=Nc3ncc(CN1CCCCC1)c23.C1CCCCN1,144206786,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
C[N+]2([O-])[C@H]1C[C@@H](C[C@@H]2CC1)OC(=O)C(CO)c3ccccc3,144203590,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(O)C1CCCN1,144203593,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)CCCN3c1ccccc1C(C)(C)c2ccccc23,144203594,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
[K+].O=C([O-])[C@@H]2N3C(=O)[C@@H](NC(=O)Cc1ccccc1)[C@H]3SC2(C)C,144203595,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(O)c1cc(ccc1)n2c(C)cc(C(=O)O)c2C.O=C2C[C@@H]7OCC=C6CN4CC[C@@]53c1ccccc1N2[C@H]3[C@H]7[C@H]6C[C@H]45,144203597,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cl.CN1CCC(C1)CN2c4ccccc4Sc3ccccc23,144203598,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cl.CNCC\C=C1\c3ccccc3CCc2ccccc12,144203599,PUBCHEM_SID,HEK293_KIDNEY,0.0,1.0,0.0,0.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cl.CN(C)CC(C)CN1c3ccccc3Sc2ccc(CC)cc12,144203600,PUBCHEM_SID,HEK293_KIDNEY,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cc4ccccc4CNc3ncnc2c3ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,144203738,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=S(=O)(O)c1ccc(C)cc1.C2CCCc3cccc(NC1=NCCN1)c23,144203602,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NS(=O)(=O)c3cc1c(NC(NS1(=O)=O)Cc2ccccc2)cc3Cl,144203604,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
